,Naive Bayes,Random Forest,Linear SVC,K-Nearest Neighbour
Average F1-Score before,0.6071955896864558,0.5121132056897189,0.6122586172532345,0.40444835667981893
Average F1-Score after,0.60927206661841,0.5507306543606262,0.6002723587233136,0.4415308917863657
Average F1-Score Percentage Increase,0.3419782632193496,7.540803135294468,-1.9577116911305565,9.168669990641868
Accuracy before,0.6319529029638652,0.5848558668290702,0.6252537555826229,0.4989849776695087
Accuracy after,0.6315468940316687,0.5996751928542428,0.6153065367438084,0.4997969955339017
Accuracy Percentage Increase,-0.06424670735623789,2.5338424158278374,-1.590909090909089,0.16273393002440673
