,Naive Bayes,Random Forest,Linear SVC,K-Nearest Neighbour
Average F1-Score before,0.6071955896864558,0.5185419897055326,0.6122586172532345,0.40444835667981893
Average F1-Score after,0.6132964265492078,0.5570320645909651,0.5950495891960886,0.4379290116428085
Average F1-Score Percentage Increase,1.0047564518547203,7.4227498736004245,-2.810744932321317,8.278103844416036
Accuracy before,0.6319529029638652,0.5856678846934632,0.6252537555826229,0.4989849776695087
Accuracy after,0.6354039788875355,0.6015022330491271,0.6104344295574503,0.48721071863581
Accuracy Percentage Increase,0.5460970125281098,2.7036395147313796,-2.37012987012987,-2.359641985353942
