,Naive Bayes,Random Forest,Linear SVC,K-Nearest Neighbour
Average F1-Score before,0.39084588982344665,0.5131372196045385,0.6359298806497007,0.5357251843626822
Average F1-Score after,0.4464371335947727,0.553250429532562,0.6248003379977388,0.5092422412240952
Average F1-Score Percentage Increase,14.223315434233633,7.8172481736829935,-1.7501210417399036,-4.94338215032621
Accuracy before,0.5604953308972798,0.5769386926512383,0.6508323183110029,0.5655704425497361
Accuracy after,0.5795777507105156,0.5921640276086074,0.6384490458790093,0.5379618351603735
Accuracy Percentage Increase,3.404563563926112,2.63898662913442,-1.9026824703680674,-4.881550610193823
