,Naive Bayes,Random Forest,SVC,Linear SVC,K-Nearest Neighbour
Average F1-Score before,0.6132964265492078,0.5380904097375092,0.2184002184002184,0.5929995888972558,0.400411877932773
Average F1-Score after,0.4464371335947727,0.5597431099934228,0.6248003379977388,0.6268953872174289,0.5455131397381338
Average F1-Score Percentage Increase,-27.206956657694974,4.023989252377904,186.08045476071467,5.7159901886619915,36.238001368611364
Accuracy before,0.6354039788875355,0.5905399918798213,0.48721071863581,0.6096396005210595,0.5290296386520503
Accuracy after,0.5795777507105156,0.5962241169305724,0.6384490458790093,0.6440512375162831,0.5887129516849371
Accuracy Percentage Increase,-8.785942492012778,0.9625300790649697,31.041666666666657,5.644586894586899,11.281657712970077
