,Naive Bayes,Random Forest,Linear SVC,K-Nearest Neighbour
Average F1-Score before,0.39084588982344665,0.4976654057209919,0.6359298806497007,0.5357251843626822
Average F1-Score after,0.4373745696999957,0.5448722243698755,0.6236563434357186,0.5176422272318802
Average F1-Score Percentage Increase,11.904610253818216,9.485654037071917,-1.9300142338716242,-3.375416661121527
Accuracy before,0.5604953308972798,0.5665854648802273,0.6508323183110029,0.5655704425497361
Accuracy after,0.5777507105156313,0.5856678846934632,0.6374340235485181,0.5460820138043037
Accuracy Percentage Increase,3.078594712060838,3.3679684700824066,-2.0586400499064252,-3.4458004307250607
