,Naive Bayes,Random Forest,Linear SVC,K-Nearest Neighbour
Average F1-Score before,0.42529613108819825,0.43135151157604573,0.42574558765784526,0.3896279378173957
Average F1-Score after,0.4464371335947727,0.547236160141474,0.6248003379977388,0.5092422412240952
Average F1-Score Percentage Increase,4.970889919097391,26.86547872337715,46.7543895017101,30.6996218178683
Accuracy before,0.5448639870077142,0.5284206252537555,0.5468940316686967,0.46691027202598456
Accuracy after,0.5795777507105156,0.5872919204222493,0.6384490458790093,0.5379618351603735
Accuracy Percentage Increase,6.3710879284649735,11.140991164041502,16.740905716406836,15.217391304347833
